transaction_id,user_id,merchant_id,transaction_date,amount,currency,status,is_international,is_online,fraud
2215,24,20,2024-01-01 00:14:40,31.63,USD,approved,False,True,0
2084,134,44,2024-01-01 00:19:58,21.31,USD,approved,True,True,0
4932,147,1,2024-01-01 00:46:43,39.81,JPY,approved,True,True,1
4139,177,74,2024-01-01 00:57:57,23.15,USD,reversed,False,True,0
863,25,47,2024-01-01 01:49:23,60.21,GBP,declined,False,False,0
4352,114,12,2024-01-01 02:19:05,29.2,GBP,approved,True,True,0
1151,74,1,2024-01-01 02:33:42,45.52,USD,approved,False,False,0
62,149,50,2024-01-01 02:34:10,15.51,EUR,approved,False,False,0
1391,62,61,2024-01-01 03:37:48,23.98,JPY,approved,False,True,0
3031,147,21,2024-01-01 03:40:34,49.13,USD,approved,False,True,0
4124,54,20,2024-01-01 03:44:55,10.08,USD,approved,False,True,0
887,11,80,2024-01-01 05:18:04,60.86,USD,reversed,False,False,0
2339,9,9,2024-01-01 05:25:02,32.52,USD,approved,False,True,0
610,172,10,2024-01-01 05:52:38,78.62,USD,approved,False,False,0
456,112,11,2024-01-01 06:04:39,37.43,USD,approved,False,True,0
3488,192,41,2024-01-01 06:17:14,27.84,USD,approved,False,True,0
3341,109,71,2024-01-01 06:28:13,60.01,USD,approved,False,True,0
3174,69,44,2024-01-01 06:46:00,35.84,USD,approved,False,False,0
4026,28,71,2024-01-01 06:53:38,34.56,EUR,approved,False,True,0
3474,178,31,2024-01-01 08:49:56,35.8,USD,approved,False,False,0
2631,188,25,2024-01-01 08:56:47,29.3,GBP,approved,False,False,0
3220,87,42,2024-01-01 09:00:41,26.68,GBP,approved,False,True,0
2323,68,74,2024-01-01 09:10:03,47.77,EUR,approved,False,True,0
2897,133,70,2024-01-01 09:25:53,40.3,USD,approved,False,True,0
4989,187,53,2024-01-01 09:46:12,22.34,USD,approved,False,False,0
366,104,13,2024-01-01 10:12:02,42.42,JPY,approved,False,True,0
1493,6,24,2024-01-01 11:06:09,25.31,USD,approved,False,True,0
3293,48,5,2024-01-01 11:22:08,44.38,EUR,approved,False,True,0
2969,144,1,2024-01-01 11:42:16,11.22,EUR,approved,False,False,0
4062,5,62,2024-01-01 12:11:12,42.33,EUR,approved,False,False,0
3654,104,5,2024-01-01 12:28:18,16.18,USD,approved,False,True,0
4784,152,23,2024-01-01 12:31:21,48.7,GBP,approved,False,False,0
4200,48,32,2024-01-01 12:36:44,23.92,USD,approved,False,True,0
2026,95,80,2024-01-01 12:40:45,45.07,USD,approved,False,True,0
2318,88,71,2024-01-01 13:11:36,51.73,USD,approved,False,True,0
848,11,54,2024-01-01 13:15:12,74.52,USD,approved,True,True,0
1324,178,78,2024-01-01 13:42:12,41.5,EUR,approved,False,False,0
1085,41,54,2024-01-01 14:48:18,27.18,JPY,approved,False,False,0
4935,76,2,2024-01-01 15:15:08,23.52,USD,approved,True,True,0
902,9,13,2024-01-01 15:28:23,21.03,JPY,approved,False,False,0
193,122,40,2024-01-01 15:45:46,30.36,USD,approved,False,True,0
787,7,52,2024-01-01 16:25:01,21.0,GBP,approved,False,True,0
2240,177,78,2024-01-01 17:40:42,62.35,EUR,approved,False,True,0
4244,7,76,2024-01-01 17:42:31,57.03,USD,reversed,False,True,0
4812,50,46,2024-01-01 17:43:38,14.6,USD,approved,False,True,0
4018,31,61,2024-01-01 17:45:37,22.25,EUR,declined,True,True,1
2806,194,57,2024-01-01 18:09:38,16.92,USD,approved,False,True,0
312,135,75,2024-01-01 18:20:28,50.07,GBP,approved,False,True,0
2951,7,51,2024-01-01 18:22:51,53.35,EUR,pending,True,True,0
3239,177,42,2024-01-01 19:35:18,44.18,USD,approved,False,True,0
2146,89,25,2024-01-01 19:52:57,48.85,GBP,approved,False,False,0
1959,133,24,2024-01-01 19:54:09,266.43,JPY,approved,False,False,0
3796,56,61,2024-01-01 20:15:07,7.0,JPY,approved,False,True,0
3023,78,80,2024-01-01 20:18:19,105.92,USD,approved,False,True,0
3246,162,71,2024-01-01 20:29:24,10.17,GBP,approved,False,False,0
